George Cybenko,"Thayer School of Engineering Dartmouth College, Hanover, NH, USA"
Fei-Yue Wang 0001,"State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China,Research Center of Military Computational Experiments and Parallel System, National University of Defense Technology, Changsha, China,Center of China Economic and Social Security, University of Chinese Academy of Sciences, Beijing, China"
Daniel Zeng,"State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China"
Fei-Yue Wang 0001,"The State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Science, Beijing, China"
Maria Glenski,"Computer Science and Engineering Department, University of Notre Dame, Notre Dame, IN, USA"
Corey Pennycuff,"Computer Science and Engineering Department, University of Notre Dame, Notre Dame, IN, USA"
Tim Weninger,"Computer Science and Engineering Department, University of Notre Dame, Notre Dame, IN, USA"
Makoto Nakatsuji,"NTT Resonant Inc., Tokyo, Japan"
Qingpeng Zhang,"Shenzhen Research Institute, City University of Hong Kong, Shenzhen, China"
Xiaohui Lu,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
Bassem Makni,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
James A. Hendler,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
Xingyi Zhang,"Institute of Bio-inspired Intelligence and Mining Knowledge, School of Computer Science and Technology, Anhui University, Hefei, China"
Congtao Wang,"Institute of Bio-inspired Intelligence and Mining Knowledge, School of Computer Science and Technology, Anhui University, Hefei, China"
Yansen Su,"Institute of Bio-inspired Intelligence and Mining Knowledge, School of Computer Science and Technology, Anhui University, Hefei, China"
Linqiang Pan,"Key Laboratory of Image Processing and Intelligent Control, School of Automation, Huazhong University of Science and Technology, Wuhan, China"
Hai-Feng Zhang 0003,"School of Mathematical Science, Anhui University, Hefei, China"
Poonam Yadav,"Computer Laboratory, University of Cambridge, Cambridge, U.K."
Ioannis Charalampidis,"CERN, Geneva, Switzerland"
Jeremy Cohen,"Department of Computing, Imperial College London, London, U.K."
John Darlington,"Department of Computing, Imperial College London, London, U.K."
François Grey,"Citizen Cyberlab, University of Geneva, Geneva, Switzerland"
José Aguilar 0001,"CEMISID, Universidad de Los Andes, Mérida, Venezuela,Department of Computer Science and Electronics, Universidad Técnica Particular de Loja, Loja, Ecuador"
Gerardo Garcia,"CEMISID, Universidad de Los Andes, Mérida, Venezuela"
Cheng-Te Li,"Department of Statistics, National Cheng Kung University, Tainan, Taiwan"
Shou-De Lin,"Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"
Diego Perna,"DIMES Department, University of Calabria, Rende, Italy"
Roberto Interdonato,"DIMES Department, University of Calabria, Rende, Italy"
Andrea Tagarelli,"DIMES Department, University of Calabria, Rende, Italy"
Sarbani Roy,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
Paramita Dey,"Department of Information Technology, Government College of Engineering and Ceramic Technology, Kolkata, India"
Debajyoti Kundu,"Oracle Corporation, Hyderabad, India"
Congyu Wu,"Department of Systems and Information Engineering, University of Virginia, Charlottesville, VA, USA"
Matthew S. Gerber,"Department of Systems and Information Engineering, University of Virginia, Charlottesville, VA, USA"
Yang Xing,"Qingdao Huituo Intelligent Machine Company, Qingdao, China,Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Chen Lv,"Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Zhaozhong Zhang,"Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Huaji Wang,"Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Xiaoxiang Na,"Department of Engineering, University of Cambridge, Cambridge, U.K."
Dongpu Cao,"Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Efstathios Velenis,"Advanced Vehicle Engineering Centre, Cranfield University, Bedford, U.K."
Fei-Yue Wang 0001,"State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China"
Klimis S. Ntalianis,"Marketing Department, Athens University of Applied Sciences, Athens, Greece"
Anastasios D. Doulamis,"School of Rural and Surveying Engineering, National Technical University of Athens, Athens, Greece"
Nicolas Tsapatsoulis,"Department of Communication and Internet Studies, Cyprus University of Technology, Limassol, Cyprus"
Nikos E. Mastorakis,"Industrial Engineering Department, Technical University of Sofia, Sofia, Bulgaria"
Alun D. Preece,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
Irena Spasic,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
Kieran Evans,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
David H. Rogers,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
William M. Webberley,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
Colin Roberts,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
Martin Innes,"Crime and Security Research Institute, Cardiff University, Cardiff, U.K."
Yahui Wu,"Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China"
