"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Gaby G. Dagher,Boise State University,us,Min Long,Boise State University,us,2021,tcss
Gaby G. Dagher,Boise State University,us,Aparna Sankaran Srinath,Boise State University,us,2021,tcss
Gaby G. Dagher,Boise State University,us,Hannah Johnson,Boise State University,us,2021,tcss
Sancheng Peng,Guangdong University of Foreign Studies,cn,Shui Yu,University of Technology Sydney,au,2018,tcss
Sancheng Peng,Guangdong University of Foreign Studies,cn,Wanlei Zhou,University of Technology Sydney,au,2018,tcss
Sancheng Peng,Guangdong University of Foreign Studies,cn,Youyang Qu,Deakin University,au,2018,tcss
Sancheng Peng,Guangdong University of Foreign Studies,cn,Longxiang Gao,Deakin University,au,2018,tcss
Jian An,Xi'an Jiaotong University,cn,Xiaolin Gui,Xi'an Jiaotong University,cn,2020,tcss
Jian An,Xi'an Jiaotong University,cn,Jindong Cheng,Xi'an Jiaotong University,cn,2020,tcss
Jian An,Xi'an Jiaotong University,cn,Ruowei Gui,Xi'an Jiaotong University,cn,2020,tcss
Jian An,Xi'an Jiaotong University,cn,Dong Liao,Xi'an Jiaotong University,cn,2020,tcss
Jian An,Xi'an Jiaotong University,cn,Danwei Liang,Xi'an Jiaotong University,cn,2020,tcss
Kun Zhu 0001,Nanjing University,cn,Xinye Cai,Nanjing University,cn,2021,tcss
Kun Zhu 0001,Nanjing University,cn,MengChu Zhou,Macau University of Science and Technology,cn,2021,tcss
Kun Zhu 0001,Nanjing University,cn,Shou-Fei Han,Nanjing University,cn,2021,tcss
He Li 0001,Muroran Institute of Technology,jp,Jingsheng Lei,Shanghai University,cn,2015,tcss
He Li 0001,Muroran Institute of Technology,jp,Chunhua Gu,Shanghai University,cn,2015,tcss
He Li 0001,Muroran Institute of Technology,jp,Kaoru Ota,Muroran Institute of Technology,jp,2015,tcss
He Li 0001,Muroran Institute of Technology,jp,Mi Wen,Shanghai University,cn,2015,tcss
He Li 0001,Muroran Institute of Technology,jp,Zhou Su,Shanghai University,cn,2015,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Shuning Huang,Soochow University,cn,2019,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Yi Chen 0011,Muroran Institute of Technology,jp,2019,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Mianxiong Dong,Muroran Institute of Technology,jp,2019,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Li Yu 0003,Huazhong University of Science and Technology,cn,2019,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Fanzhang Li,Soochow University,cn,2019,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Yasuo Kudo,Muroran Institute of Technology,jp,2020,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Mianxiong Dong,Muroran Institute of Technology,jp,2020,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Xiuzhen Chen,Shanghai Jiao Tong University,cn,2020,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Jingsheng Lei,Shanghai University,cn,2015,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Chunhua Gu,Shanghai University,cn,2015,tcss
Kaoru Ota,Muroran Institute of Technology,jp,He Li 0001,Muroran Institute of Technology,jp,2015,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Mi Wen,Shanghai University,cn,2015,tcss
Kaoru Ota,Muroran Institute of Technology,jp,Zhou Su,Shanghai University,cn,2015,tcss
Yuan Liu 0002,Northeastern University,us,Quanyan Zhu,York University,ca,2017,tcss
Yuan Liu 0002,Northeastern University,us,Xingwei Wang 0001,Northeastern University,us,2017,tcss
Yuan Liu 0002,Northeastern University,us,Jie Zhang 0002,Nanyang Technological University,sg,2017,tcss
Wenjie Ruan,University of Exeter,uk,Shui Yu,University of Technology Sydney,au,2021,tcss
Wenjie Ruan,University of Exeter,uk,Chenwang Zheng,Beijing Jiaotong University,cn,2021,tcss
Wenjie Ruan,University of Exeter,uk,Dan Tao,Beijing Jiaotong University,cn,2021,tcss
Daniel Gatica-Perez,EPFL,us,Darshan Santani,Idiap Research Institute,ch,2018,tsc
Daniel Gatica-Perez,EPFL,us,Salvador Ruiz-Correa,Potosino Institute of Scientific and Technology Research,mx,2018,tsc
Daniel Gatica-Perez,EPFL,us,Fatima Alba Rendon-Huerta,University of Guanajuato,mx,2019,tsc
Daniel Gatica-Perez,EPFL,us,Laurent Son Nguyen,Idiap Research Institute,ch,2019,tsc
Daniel Gatica-Perez,EPFL,us,Salvador Ruiz-Correa,Potosino Institute of Scientific and Technology Research,mx,2019,tsc
Daniel Gatica-Perez,EPFL,us,Beatriz Ramirez-Salazar,University of Guanajuato,mx,2019,tsc
Daniel Gatica-Perez,EPFL,us,Itzia Ruiz-Correa,University of Guanajuato,mx,2019,tsc
Abhijit Majumdar,University of Texas at San Antonio,us,Kim-Kwang Raymond Choo,University of Texas at San Antonio,us,2020,tcss
Abhijit Majumdar,University of Texas at San Antonio,us,Mo M. Jamshidi,University of Texas at San Antonio,us,2020,tcss
Abhijit Majumdar,University of Texas at San Antonio,us,Berat A. Erol,University of Texas at San Antonio,us,2020,tcss
Abhijit Majumdar,University of Texas at San Antonio,us,Patrick Benavidez,University of Texas at San Antonio,us,2020,tcss
Abhijit Majumdar,University of Texas at San Antonio,us,Paul Rad,University of Texas at San Antonio,us,2020,tcss
Ujjwal Maulik,Jadavpur University,in,Srinka Basu,University of Kalyani,in,2016,tcss
Ujjwal Maulik,Jadavpur University,in,Oishik Chatterjee,Jadavpur University,in,2016,tcss
Yucheng Dong,Sichuan University,cn,Min Zhan,Sichuan University,cn,2019,tcss
Yucheng Dong,Sichuan University,cn,Haiming Liang,Sichuan University,cn,2019,tcss
Yucheng Dong,Sichuan University,cn,Gang Kou,Southwestern University of Finance and Economics,cn,2019,tcss
Yucheng Dong,Sichuan University,cn,Quanbo Zha,Sichuan University,cn,2019,tcss
Yucheng Dong,Sichuan University,cn,Shui Yu,University of Technology Sydney,au,2019,tcss
M. Sridevi,National Institute of Technology,in,Madichetty Sreenivasulu,National Institute of Technology,in,2021,tcss
Christian R. Shelton,University of California - Riverside,us,Robert A. Hanneman,University of California - Riverside,us,2013,socnet
Christian R. Shelton,University of California - Riverside,us,Juan I. Casse,University of California - Riverside,us,2013,socnet
Mingming Chen,Tsinghua University,cn,Konstantin Kuzmin,Rennselaer Polytechnic Institute,us,2014,tcss
Mingming Chen,Tsinghua University,cn,Boleslaw K. Szymanski,Rensselaer Polytechnic Institute,us,2014,tcss
Meng Xi,Zhejiang University,cn,Yuyu Yin,Hangzhou Dianzi University,cn,2019,tcss
Meng Xi,Zhejiang University,cn,Honghao Gao,Shanghai University,cn,2019,tcss
Yuyu Yin,Hangzhou Dianzi University,cn,Meng Xi,Zhejiang University,cn,2019,tcss
Yuyu Yin,Hangzhou Dianzi University,cn,Honghao Gao,Shanghai University,cn,2019,tcss
Zhiling Luo,Zhejiang University,cn,Gang Pan 0001,Zhejiang University,cn,2021,tcss
Zhiling Luo,Zhejiang University,cn,Yizhi Xu,Zhejiang University,cn,2021,tcss
Zhiling Luo,Zhejiang University,cn,Sha Zhao,Zhejiang University,cn,2021,tcss
Zhiling Luo,Zhejiang University,cn,Shijian Li,Zhejiang University,cn,2021,tcss
Qiang He 0001,Swinburne University of Technology,au,Xuyun Zhang,Macquarie University,au,2019,tcss
Qiang He 0001,Swinburne University of Technology,au,Xiaolong Xu 0001,Nanjing University,cn,2019,tcss
Qiang He 0001,Swinburne University of Technology,au,Feifei Chen 0001,Deakin University,au,2019,tcss
Qiang He 0001,Swinburne University of Technology,au,Lianyong Qi,Qufu Normal University,cn,2019,tcss
Qiang He 0001,Swinburne University of Technology,au,Wanchun Dou,Nanjing University,cn,2019,tcss
Qiang He 0001,Swinburne University of Technology,au,Shaohua Wan,Zhongnan University of Economics and Law,cn,2019,tcss
Xiao Xue,Tianjin University,cn,Shufang Wang,Henan Polytechnic University,cn,2018,tcss
Xiao Xue,Tianjin University,cn,Giagia Gao,Henan Polytechnic University,cn,2018,tcss
Xiao Xue,Tianjin University,cn,Zhiyong Feng 0002,Tianjin University,cn,2018,tcss
Shufang Wang,Henan Polytechnic University,cn,Xiao Xue,Tianjin University,cn,2018,tcss
Shufang Wang,Henan Polytechnic University,cn,Giagia Gao,Henan Polytechnic University,cn,2018,tcss
Shufang Wang,Henan Polytechnic University,cn,Zhiyong Feng 0002,Tianjin University,cn,2018,tcss
Xiwei Xu,CSIRO,au,Yongping Zhang,Beihang University,cn,2019,tcss
Xiwei Xu,CSIRO,au,Qinghua Lu 0001,CSIRO,au,2019,tcss
Xiwei Xu,CSIRO,au,Lida Xu,Old Dominion University,us,2019,tcss
Xiwei Xu,CSIRO,au,Fei Tao,Beihang University,cn,2019,tcss
Xiwei Xu,CSIRO,au,Ang Liu,University of New South Wales,au,2019,tcss
Mengchu Zhou,King Abdulaziz University,sa,Quanwang Wu,Chongqing University,cn,2021,tcss
Mengchu Zhou,King Abdulaziz University,sa,Guoshuai Wei,Chongqing University,cn,2021,tcss
Mengchu Zhou,King Abdulaziz University,sa,Peiyun Zhang,Anhui Normal University,cn,2020,tcss
Mengchu Zhou,King Abdulaziz University,sa,Lutao Zheng,Tongji University,cn,2020,tcss
Mengchu Zhou,King Abdulaziz University,sa,Maozhen Li,Tongji University,cn,2020,tcss
Mengchu Zhou,King Abdulaziz University,sa,Changjun Jiang,Tongji University,cn,2020,tcss
Mengchu Zhou,King Abdulaziz University,sa,Chungang Yan,Tongji University,cn,2020,tcss
Mengchu Zhou,King Abdulaziz University,sa,Guanjun Liu,Tongji University,cn,2020,tcss
Anup K. Kalia,IBM,us,Arwen H. DeCostanza,U.S. Army Research Laboratory,us,2017,tcss
Anup K. Kalia,IBM,us,Munindar P. Singh,North Carolina State University,us,2017,tcss
Anup K. Kalia,IBM,us,Norbou Buchler,U.S. Army Research Laboratory,us,2017,tcss
Júlio Cezar Estrella,University of São Paulo,br,Charith Perera,Open University,uk,2015,tcss
Júlio Cezar Estrella,University of São Paulo,br,Chi Harold Liu,Beijing Institute of Technology,cn,2015,tcss
Júlio Cezar Estrella,University of São Paulo,br,Dumidu S. Talagala,University of Surrey,uk,2015,tcss
Yanmei Zhang,Central University of Finance and Economics,cn,Xiao Geng,Central University of Finance and Economics,cn,2019,tcss
Yanmei Zhang,Central University of Finance and Economics,cn,Yinan Mei,Central University of Finance and Economics,cn,2019,tcss
Yanmei Zhang,Central University of Finance and Economics,cn,Yuhang Jiao 0001,Central University of Finance and Economics,cn,2019,tcss
Arkady B. Zaslavsky,CSIRO,au,Prem Prakash Jayaraman,Swinburne University of Technology,au,2015,tcss
Arkady B. Zaslavsky,CSIRO,au,Zahraa Said Abdallah,Monash University,us,2015,tcss
Arkady B. Zaslavsky,CSIRO,au,Shonali Krishnaswamy,Institute for Infocomm Research (I2R),sg,2015,tcss
Xiaojie Zhang,University of Massachusetts,us,Xiaoqin Shelley Zhang,University of Massachusetts,us,2020,tcss
Yichuan Jiang,Southeast University,cn,Wanyuan Wang,Southeast University,cn,2020,tcss
