"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Konstantin Kuzmin,Rennselaer Polytechnic Institute,us,Boleslaw K. Szymanski,Rensselaer Polytechnic Institute,us,2014,tcss
Christian L. Staudt,Karlsruhe Institute of Technology,de,Dorothea Wagner,Karlsruhe Institute of Technology,de,2016,snam
Christian L. Staudt,Karlsruhe Institute of Technology,de,Michael Hamann,Karlsruhe Institute of Technology,de,2016,snam
Christian L. Staudt,Karlsruhe Institute of Technology,de,Maximilian Vogel,Karlsruhe Institute of Technology,de,2016,snam
Christian L. Staudt,Karlsruhe Institute of Technology,de,Gerd Lindner,Karlsruhe Institute of Technology,de,2016,snam
Christian L. Staudt,Karlsruhe Institute of Technology,de,Jannis Koch,Karlsruhe Institute of Technology,de,2016,snam
Christian L. Staudt,Karlsruhe Institute of Technology,de,Henning Meyerhenke,Karlsruhe Institute of Technology,de,2016,snam
Michael Hamann,Karlsruhe Institute of Technology,de,Dorothea Wagner,Karlsruhe Institute of Technology,de,2016,snam
Michael Hamann,Karlsruhe Institute of Technology,de,Gerd Lindner,Karlsruhe Institute of Technology,de,2016,snam
Michael Hamann,Karlsruhe Institute of Technology,de,Henning Meyerhenke,Karlsruhe Institute of Technology,de,2016,snam
Michael Hamann,Karlsruhe Institute of Technology,de,Christian L. Staudt,Karlsruhe Institute of Technology,de,2016,snam
Alexander Gutfraind,University of Illinois at Chicago,us,Michael Genkin,Singapore Management University,sg,2017,socnet
Emoke-Ágnes Horvát,Western University,ca,Katharina Anna Zweig,University of Kaiserslautern,de,2015,snam
Emoke-Ágnes Horvát,Western University,ca,Wolfgang Eugen Schlauch,University of Kaiserslautern,de,2015,snam
Emoke-Ágnes Horvát,Western University,ca,Katharina Anna Zweig,University of Kaiserslautern,de,2013,snam
Dounia Lotfi,Mohammed V University,ma,Khawla Asmi,CNRS,fr,2017,snam
Dounia Lotfi,Mohammed V University,ma,Mohamed El Marraki,Mohammed V University,ma,2017,snam
Elli Voudigari,Athens University of Economics and Business,gr,Nikos Salamanos,Athens University of Economics and Business,gr,2017,snam
Elli Voudigari,Athens University of Economics and Business,gr,Emmanuel J. Yannakoudakis,Athens University of Economics and Business,gr,2017,snam
Emmanuel J. Yannakoudakis,Athens University of Economics and Business,gr,Nikos Salamanos,Athens University of Economics and Business,gr,2017,snam
Emmanuel J. Yannakoudakis,Athens University of Economics and Business,gr,Elli Voudigari,Athens University of Economics and Business,gr,2017,snam
Hocine Cherifi,CNRS,fr,Zakariya Ghalmane,Mohammed V University,ma,2019,snam
Hocine Cherifi,CNRS,fr,Mohammed El Hassouni,Mohammed V University,ma,2019,snam
Hans Rudolf Heinimann,ETH Zurich,us,Ravi S. Kudesia,Temple University,us,2020,tcss
Hans Rudolf Heinimann,ETH Zurich,us,Dirk-Jan van Veen,ETH Zurich,us,2020,tcss
Michela Del Vicario,IMT School for Advanced Studies,it,Walter Quattrociocchi,University of Siena,it,2017,socnet
Michela Del Vicario,IMT School for Advanced Studies,it,Fabiana Zollo,IMT School for Advanced Studies,it,2017,socnet
Michela Del Vicario,IMT School for Advanced Studies,it,Guido Caldarelli,IMT School for Advanced Studies,it,2017,socnet
Paola Tubaro,University of Greenwich,uk,Alessio D'Angelo,Middlesex University,uk,2021,socnet
Paola Tubaro,University of Greenwich,uk,Louise Ryan,University of Sheffield,uk,2021,socnet
Paola Tubaro,University of Greenwich,uk,Lise Mounier,CNRS,fr,2012,socnet
Paola Tubaro,University of Greenwich,uk,Tom A. B. Snijders,University of Groningen,nl,2012,socnet
Paola Tubaro,University of Greenwich,uk,Emmanuel Lazega,Institute of Political Studies in Paris,fr,2012,socnet
Rouzbeh Hasheminezhad,TU Wien,at,Ali Nazemian,TU Wien,at,2018,snam
Rouzbeh Hasheminezhad,TU Wien,at,Ali Movaghar 0001,TU Wien,at,2018,snam
Rouzbeh Hasheminezhad,TU Wien,at,Hamidreza Mahyar,Sharif University of Technology,ir,2018,snam
Rouzbeh Hasheminezhad,TU Wien,at,Elaheh Ghalebi,ETH Zurich,us,2018,snam
Rouzbeh Hasheminezhad,TU Wien,at,Radu Grosu,Sharif University of Technology,ir,2018,snam
Rouzbeh Hasheminezhad,TU Wien,at,Hamid R. Rabiee,Sharif University of Technology,ir,2018,snam
Reza Farahbakhsh,CNRS,fr,Ángel Cuevas,CNRS,fr,2016,snam
Reza Farahbakhsh,CNRS,fr,Noël Crespi,University Carlos III of Madrid,es,2016,snam
Yoshiyuki Arata,Research Institute of Economy,jp,Hiroyasu Inoue,University of Hyogo,jp,2019,socnet
Yoshiyuki Arata,Research Institute of Economy,jp,Abhijit Chakraborty,University of Hyogo,jp,2019,socnet
Yoshiyuki Arata,Research Institute of Economy,jp,Yoshi Fujiwara,University of Hyogo,jp,2019,socnet
Yoshiyuki Arata,Research Institute of Economy,jp,Hazem Krichene,University of Hyogo,jp,2019,socnet
Yoshiyuki Arata,Research Institute of Economy,jp,Masaaki Terai,RIKEN Advanced Institute for Computational Science,jp,2019,socnet
