Junlin Zhang,0,"Sina Weibo, Beijing, China"
Negar Foroutan Eghlidi,0,"Department of Computer Science and Engineering & IT, Shiraz University, Shiraz, Iran"
Ali Hamzeh,0,"Department of Computer Science and Engineering & IT, Shiraz University, Shiraz, Iran"
Anup K. Kalia,0,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"
Norbou Buchler,0,"U.S. Army Research Laboratory, Adelphi, MD, USA"
Arwen H. DeCostanza,0,"U.S. Army Research Laboratory, Adelphi, MD, USA"
Munindar P. Singh,0,"Department of Computer Science, North Carolina State University, Raleigh, NC, USA"
Sang Peter Chin,0,"Department of Computer Science, Boston University, Boston, MA, USA,Systems and Technology Research, Woburn, MA, USA"
Jonathan Cohen,1,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Alison Albin,0,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Mykola Hayvanovych,0,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Elizabeth Reilly,0,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA"
Gavin Brown,1,"Department of Computer Science, Boston University, Boston, MA, USA"
Jacob Harer,0,"Department of Computer Science, Boston University, Boston, MA, USA"
Fei-Yue Wang 0001,0,"The State Key Laboratory for Management and Control of Complex Systems, Chinese Academy of Sciencess, Beijing, China"
Yuqing Zhu 0002,0,"Department of Computer Science, California State University at Los Angeles, CA, USA"
Deying Li 0001,0,"School of Information, Renmin University of China, Beijing, China"
Ruidong Yan,0,"School of Information, Renmin University of China, Beijing, China"
Weili Wu,0,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Yuanjun Bi,0,"Suning Commerce Research and Development Center USA, Inc., Palo Alto, CA, USA"
Abigail Paradise,0,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Asaf Shabtai,0,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Rami Puzis,0,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Aviad Elyashar,0,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Yuval Elovici,0,"Department of Software and Information Systems Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Mehran Roshandel,0,"Deutsche Telekom AG (T-Systems and Telekom Innovation Laboratories), Berlin, Germany"
Christoph Peylo,0,"Bosch Center for Artificial Intelligence, Renningen, Germany"
