Shou-De Lin,National Taiwan University
Wen Xu 0005,University of Texas at Dallas
Zaixin Lu,University of Texas at Dallas
Carson Kai-Sang Leung,University of Manitoba
Syed Khairuzzaman Tanbeer,University of Manitoba
Juan J. Cameron,University of Manitoba
Jeffrey Chan,University of Melbourne
Samantha Lam,Digital Enterprise Research Institute
Chanhyun Kang,University of Maryland - College Park
Andrea Pugliese 0001,University of Calabria
John Grant,University of Maryland - College Park
V. S. Subrahmanian,University of Maryland - College Park
Cristiano André da Costa,University of Vale do Rio dos Sinos (UNISINOS)
Dante Zaupa,University of Vale do Rio dos Sinos (UNISINOS)
Jorge Luis Victória Barbosa,University of Vale do Rio dos Sinos (UNISINOS)
Rodrigo da Rosa Righi,University of Vale do Rio dos Sinos (UNISINOS)
João de Camargo,University of Vale do Rio dos Sinos (UNISINOS)
