Elham Shaabani
Abhinav Bhatnagar
Paulo Shakarian
Anita Zakrzewska
David A. Bader
Hariton Efstathiades
Demetris Antoniades
George Pallis 0001
Marios D. Dikaiakos
Ryan A. Rossi
Rong Zhou 0001
Bo Gao 0002
Bettina Berendt
Joaquin Vanschoren
Rajesh Sharma
Matteo Magnani
Danilo Montesi
Shubhangi Rastogi
Hira Zaheer
Farsad Zamani Boroujeni
Mohammad Behnia
Simindokht Jahangard
Christopher M. Smith
William T. Scherer
Andrew Todd
Saeed NasehiMoghaddam
Mehdi Ghazanfari
Md. Saddam Hossain Mukta
Mohammed Eunus Ali
Jalal Mahmud
Mohammed Korayem
Khalifeh AlJadda
David J. Crandall
Quan Zheng 0001
David B. Skillicorn
Hamidreza Alvari
Alireza Hajibagheri
Gita Sukthankar
Kiran Lakkaraju
NhatHai Phan
Dejing Dou
Brigitte Piniewski
David Kil
Ilire Hasani-Mavriqi
Florian Geigl
Subhash Chandra Pujari
Elisabeth Lex
Denis Helic
Sonia Khetarpaul
S. K. Gupta
L. Venkata Subramaniam
Ajitesh Srivastava
Charalampos Chelmis
Viktor K. Prasanna
Annapurna Jonnalagadda
Lakshmanan Kuppusamy
Jannis Koch
Christian L. Staudt
Maximilian Vogel
Henning Meyerhenke
Paridhi Jain 0001
Ponnurangam Kumaraguru
Anupam Joshi
Giulio Rossetti
Riccardo Guidotti
Ioanna Miliou
Dino Pedreschi
Fosca Giannotti
Noé Gaumont
Clémence Magnien
Matthieu Latapy
Rahat Ibn Rafiq
Homa Hosseinmardi
Sabrina Arredondo Mattson
Richard Han
Qin Lv
Shivakant Mishra
Pavlos Paraskevopoulos
Themis Palpanas
Subu Surendran
D. Chithra Prasad
M. Ramachandra Kaimal
Mohsen Shahriari
Omid Askari Sichani
Joobin Gharibshah
Mahdi Jalili
Elvis Saravia
Carlos Rene Argueta
Yi-Shin Chen
Sylvain Lamprier
Simon Bourigault
Patrick Gallinari
Gennaro Cordasco
Luisa Gargano
Adele A. Rescigno
Sudhir B. Kylasa
Giorgios Kollias
Ananth Grama
Azadeh Hemmati
Kon Shing Kenneth Chung
Frank W. Takes
Eelke M. Heemskerk
Shampa Chakraverty
Anuradha Yadav
Ritu Sibal
Robert A. Bridges
John P. Collins
Erik M. Ferragut
Jason A. Laska
Blair D. Sullivan
Christian Brugger
André Lucas Chinazzo
Alexandre Flores John
Christian de Schryver
Norbert Wehn
Wolfgang Eugen Schlauch
Katharina Anna Zweig
Mayank Yadav
Zillur Rahman
Rana Forsati
Iman Barjasteh
Dennis Ross
Abdol-Hossein Esfahanian
Hayder Radha
Giulio Rossetti
Luca Pappalardo
Riivo Kikas
Dino Pedreschi
Fosca Giannotti
Marlon Dumas
Tayfun Tuna
Esra Akbas
Ahmet Aksoy
Muhammed Abdullah Canbaz
Umit Karabiyik
Bilal Gonen
Ramazan Aygun
George A. Barnett
Ke Jiang
Jiamou Liu
Anastasia Moskvina
Anuradha Goswami
Ajey Kumar
Dionisis Margaris
Costas Vassilakis
Panagiotis Georgiadis 0001
Shuo Wang
Richard O. Sinnott
Peixin Gao
Hui Miao 0001
John S. Baras
MohammadTaghi Hajiaghayi
Xuhong Zhang 0001
Carter T. Butts
Riadh Bouslimi
Mouhamed Gaith Ayadi
Jalel Akaichi
Dave McKenney
Tony White
Kevin Ryczko
Adam Domurad
Nicholas Buhagiar
Isaac Tamblyn
Imen Moalla
Ahlem Nabli
Lotfi Bouzguenda
Mohamed Hammami
Pravallika Devineni
Danai Koutra
Michalis Faloutsos
Christos Faloutsos
Nemi Chandra Rathore
Somanath Tripathy
Alan Kuhnle
Nam P. Nguyen
Thang N. Dinh
My T. Thai
Jinseok Kim 0001
Jana Diesner
Kazunori Seki
Masataka Nakamura
Yasmine Chaabani
Jalel Akaichi
Parul Goyal Wasan
Neera Jain
Richard O. Sinnott
Wei Wang
Lule Ahmedi
